YEAR;MONTH_ID;MONTH_NAME;PRODUCT_ID;PRODUCT_NAME;PRICE;VAT;EXCISE;NET
1996;1;January;6;Residual fuel oil;382.44;61.06;158.05;163.34
1996;2;February;6;Residual fuel oil;385.29;61.52;158.05;165.73
1996;3;March;6;Residual fuel oil;388.33;62;158.05;168.28
1996;4;April;6;Residual fuel oil;394.71;63.02;143.03;188.66
1996;5;May;6;Residual fuel oil;397.91;63.53;143.03;191.34
1996;6;June;6;Residual fuel oil;389.31;62.16;143.03;184.11
1996;7;July;6;Residual fuel oil;390.86;62.41;143.03;185.42
1996;8;August;6;Residual fuel oil;394.76;63.03;143.03;188.7
1996;9;September;6;Residual fuel oil;401.42;64.09;143.03;194.3
1996;10;October;6;Residual fuel oil;406.82;64.95;143.03;198.83
1996;11;November;6;Residual fuel oil;406.38;64.88;143.03;198.47
1996;12;December;6;Residual fuel oil;405.64;64.77;143.03;197.84
1997;1;January;6;Residual fuel oil;405.4;64.73;143.03;197.64
1997;2;February;6;Residual fuel oil;403.54;64.43;143.03;196.07
1997;3;March;6;Residual fuel oil;399.87;63.85;143.03;192.99
1997;4;April;6;Residual fuel oil;393.32;62.8;143.03;187.49
1997;5;May;6;Residual fuel oil;390.31;62.32;143.03;184.96
1997;6;June;6;Residual fuel oil;391.11;62.45;143.03;185.63
1997;7;July;6;Residual fuel oil;388.91;62.1;143.03;183.78
1997;8;August;6;Residual fuel oil;395.17;63.09;143.03;189.05
1997;9;September;6;Residual fuel oil;394.71;63.02;143.03;188.66
1997;10;October;6;Residual fuel oil;403.05;66.73;143.03;193.29
1997;11;November;6;Residual fuel oil;410.74;68.46;143.03;199.25
1997;12;December;6;Residual fuel oil;407.23;67.87;143.03;196.33
1998;1;January;6;Residual fuel oil;402.64;67.11;143.03;192.5
1998;2;February;6;Residual fuel oil;396.29;66.05;143.03;187.21
1998;3;March;6;Residual fuel oil;390.51;65.08;143.03;182.39
1998;4;April;6;Residual fuel oil;388.53;64.76;143.03;180.74
1998;5;May;6;Residual fuel oil;383.26;63.88;143.03;176.35
1998;6;June;6;Residual fuel oil;374.33;62.39;143.03;168.91
1998;7;July;6;Residual fuel oil;372.63;62.1;143.03;167.49
1998;8;August;6;Residual fuel oil;368.35;61.39;143.03;163.93
1998;9;September;6;Residual fuel oil;368.94;61.49;143.03;164.42
1998;10;October;6;Residual fuel oil;374.53;62.42;143.03;169.08
1998;11;November;6;Residual fuel oil;371.44;61.91;143.03;166.5
1998;12;December;6;Residual fuel oil;368.32;61.39;143.03;163.9
1999;1;January;6;Residual fuel oil;376.7;62.78;147.98;165.93
1999;2;February;6;Residual fuel oil;371.72;48.03;153.99;169.7
1999;3;March;6;Residual fuel oil;390.61;35.51;166.84;188.26
1999;4;April;6;Residual fuel oil;395.3;35.94;166.84;192.52
1999;5;May;6;Residual fuel oil;395.24;35.93;166.84;192.47
1999;6;June;6;Residual fuel oil;392.2;35.65;166.84;189.7
1999;7;July;6;Residual fuel oil;404.25;36.75;166.84;200.66
1999;8;August;6;Residual fuel oil;415.41;37.76;166.84;210.81
1999;9;September;6;Residual fuel oil;427.04;38.82;166.84;221.38
1999;10;October;6;Residual fuel oil;432.69;39.34;166.84;226.52
1999;11;November;6;Residual fuel oil;433.53;39.41;162.2;231.92
1999;12;December;6;Residual fuel oil;447.7;40.7;162.2;244.8
2000;1;January;6;Residual fuel oil;458.51;41.68;161.65;255.18
2000;2;February;6;Residual fuel oil;473.15;43.01;161.43;268.71
2000;3;March;6;Residual fuel oil;481.67;43.79;160.53;277.35
2000;4;April;6;Residual fuel oil;467.57;42.51;159.11;265.95
2000;5;May;6;Residual fuel oil;475.91;43.26;159.11;273.53
2000;6;June;6;Residual fuel oil;488.14;44.38;159.11;284.65
2000;7;July;6;Residual fuel oil;494.9;44.99;159.11;290.8
2000;8;August;6;Residual fuel oil;494.45;44.95;159.11;290.39
2000;9;September;6;Residual fuel oil;536.1;48.74;159.11;328.26
2000;10;October;6;Residual fuel oil;554.26;50.39;153.37;350.5
2000;11;November;6;Residual fuel oil;549.18;49.93;151.38;347.88
